,best_chromosome,train_average,test_average,test_accuracy,,,
0,6.548297161,4.566302783,3.801673079,48.57142857,,,"[30,18,9,4,2]"
1,6.672547781,4.638414763,4.040133277,50.30357143,,,
2,7.177264169,4.615898981,4.672978065,61.94642857,,,
3,7.177264169,4.579304315,4.186114115,53.125,,,
4,7.177264169,4.793664047,6.058439782,74.26785714,,,
5,8.903505096,5.083313145,5.706823932,74.76785714,,,
6,8.903505096,5.302640579,7.992581533,76.53571429,,,
7,8.903505096,6.100923405,6.176197789,63.35714286,,,
8,8.903505096,6.32166118,5.398416089,53.57142857,,,
9,8.903505096,6.368450493,6.36700052,63.04615385,,,
