,best_chromosome,train_average,test_average,test_accuracy,,,,,,
1,7.851051411,4.422567807,3.95860071,48.96428571,,"[40,50,30,20,5]",,0.135838875,0.253717306,0.287386913
2,7.851051411,4.345183216,4.04979849,49.69642857,,,,0.135838875,0.258776091,0.280084212
3,7.851051411,4.356098664,4.380126603,58.75,,,,0.135838875,0.258050388,0.256467112
4,7.851051411,4.373431356,4.077548927,53.01785714,,,,0.135838875,0.256906334,0.277934843
5,7.851051411,4.350784093,4.986780946,66.58928571,,,,0.135838875,0.258403215,0.222050473
6,7.851051411,4.435975004,4.945253697,77.44642857,,,,0.135838875,0.25286081,0.224110056
7,9.951051411,4.492045927,4.960818892,71.73214286,,,,0.105714678,0.249340374,0.223333638
8,9.951051411,4.606853189,4.582748608,62.32142857,,,,0.105714678,0.242428474,0.243847821
9,9.951051411,4.818164991,4.373054317,53.46428571,,,,0.105714678,0.230656657,0.256931114
10,9.951051411,4.864038722,4.833002077,62.81538462,,,,0.105714678,0.228250094,0.229872779
